,symbol,company_name,company_description,exchange,website,exchange_short_name,industry,country,sector,ipo_date,min_date,max_date,date_count,news_page,reports_page
0,UV.BK,Univentures Public Company Limited,"Univentures Public Company Limited engages in the property development business in Thailand. It develops, sells, and manages condominiums, as well as rents office buildings. The company also manufactures and distributes zinc oxide powder and chemicals. In addition, it offers finance, management, and investment consulting services; consulting and designing services for restaurants, coffee shops, and kitchen use areas; corporate registration and juristic management services; real estate consultancy services for selling, purchasing, and leasing of real estate properties; act as a real estate broker and agent. Further, the company invests in, develops, manages, and operates energy projects and other companies; distribute and install security control systems, access control systems, building automation systems, electronic appliances control systems, and safety systems; and manufactures and distributes commercial refrigerators. The company was founded in 1980 and is headquartered in Bangkok, Thailand. Univentures Public Company Limited is a subsidiary of Adelfos Company Limited.",Stock Exchange of Thailand,https://www.univentures.co.th,SET,Real Estate—Development,TH,Real Estate,1988-12-09,2004-01-01,2023-11-06,4853,,
1,003495.KS,"Korean Air Lines Co., Ltd.","Korean Air Lines Co., Ltd. provides airline services. The company operates through Air Transport, Aerospace, and Hotel and Others segments. The company offers passenger and cargo transportation service. It also engages in the maintenance of aircraft and manufacture of aircraft parts. In addition, the company offers hotel, accommodation, hotel management, airport support, rental, sports and leisure, seconding personnel, online sales, small aircraft transport service, and telecommunication services, as well as develops and supplies software. It operates a fleet of 154 aircraft connecting 13 domestic and 107 international destinations in 42 countries. The company was founded in 1962 and is headquartered in Seoul, South Korea.",Korea Stock Exchange,https://www.koreanair.com,KSC,Airlines,KR,Industrials,2005-09-29,2005-09-29,2023-11-06,4453,,
2,AMZN,"Amazon.com, Inc.","Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). Its products offered through its stores include merchandise and content purchased for resale; and products offered by third-party sellers The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, Blink, eero, and Echo; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products in its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program. The company serves consumers, sellers, developers, enterprises, content creators, and advertisers. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",NASDAQ Global Select Market,https://www.amazon.com,NASDAQ,Internet Retail,US,Consumer Cyclical,1997-05-15,2000-01-04,2023-11-06,5981,https://www.aboutamazon.com?utm_source=Amazon.com%2Fnews&utm_medium=redirect&utm_campaign=Amazon.com%2Fnews_redirect,https://www.amazon.com/Reading-Financial-Reports-Dummies-Epstein/dp/1118761936
3,CATR.PA,Caterpillar Inc.,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines worldwide. Its Construction Industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact track and multi-terrain loaders, excavators, motorgraders, pipelayers, road reclaimers, site prep tractors, skid steer loaders, telehandlers, and utility vehicles; mini, small, medium, and large excavators; compact, small, and medium wheel loaders; track-type tractors and loaders; and wheel excavators. The Resource Industries segment provides electric rope shovels, draglines, hydraulic shovels, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, fleet management, landfill compactors, soil compactors, machinery components, autonomous ready vehicles and solutions, select work tools, and safety services and mining performance solutions. The Energy & Transportation segment offers reciprocating engines, generator sets, integrated systems and solutions, turbines and turbine-related services, remanufactured reciprocating engines and components, centrifugal gas compressors, diesel-electric locomotives and components, and other rail-related products and services for marine, oil and gas, industrial, and electric power generation sectors. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing plans; and insurance and risk management products for vehicles, power generation facilities, and marine vessels. The All Other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, etc. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois.",Euronext Paris,https://www.caterpillar.com,EURONEXT,Farm & Heavy Construction Machinery,US,Industrials,2001-09-04,2001-09-03,2023-11-06,5649,https://www.caterpillar.com/en/news.html,
4,SAN.MC,"Banco Santander, S.A.","Banco Santander, S.A. provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, structured financing, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking; treasury, risk hedging, foreign trade, confirming, custody, and investment banking activities. The company operates through a network of 9,879 branches. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain.",Bolsa de Madrid,https://www.santander.com,BME,Banks,ES,Financial Services,2000-01-03,2000-01-04,2023-11-06,6069,https://www.santander.com/en/press-room,
5,CHWWF,Chesswood Group Limited,"Chesswood Group Limited, a financial services company, operates primarily in the specialty finance industry. The company offers micro and small-ticket commercial equipment financing to small and medium-sized businesses through a network of approximately 600 equipment finance broker firms and equipment vendors in the United States; and commercial equipment financing to small and medium businesses through a network of approximately 60 equipment finance broker firms in Canada. It also provides home improvement and other consumer financing solutions. The company was formerly known as Chesswood Income Fund and changed its name to Chesswood Group Limited in January 2011. Chesswood Group Limited was founded in 1982 and is headquartered in Toronto, Canada.",OTC Markets Group Pink Sheets,https://www.chesswoodgroup.com,PNK,Credit Services,CA,Financial Services,2012-05-15,2011-11-10,2023-10-31,2978,https://www.chesswoodgroup.com/news,https://www.chesswoodgroup.com/investors/reports--filings/financial-reports
6,TAK,Takeda Pharmaceutical Company Limited,"Takeda Pharmaceutical Company Limited engages in the research, development, manufacture, marketing, and out-licensing of pharmaceutical products in Japan, the United States, Europe, Canada, Latin America, Russia, rest of Asia, and internationally. It offers pharmaceutical products in the areas of gastroenterology, rare diseases, plasma derived therapies, oncology, and neuroscience. The company provides its products under the Entyvio, Gattex/Revestive, Takecab, Alofisel, Dexilant, Natpara, Adynovate/Adynovi, Takhzyro, Livtencity, Elaprase, Replagal, Advate, Vpriv, Gammagard Liquid/Kiovig, Hyqvia, Cuvitru, Exkivity, Velcade, Leuplin/Enantone, Adcetris, Vyvansese, Trintellix, and Alunbrig brands. Takeda Pharmaceutical Company Limited has out-licensing agreement with Neurocrine Biosciences, Inc.; collaborations and in-licensing agreements with the University of Texas MD Anderson Cancer Center, Arrowhead Pharmaceuticals Inc., and Ovid Therapeutics Inc.; and collaboration with Evox Therapeutics Ltd., as well as a licensing agreement with ProThera Biologics Inc. It also has research collaboration and licensing agreement with Crescendo Biologics, Code Bio, Immusoft, Poseida Therapeutics, Selecta Biosciences, BridGene Biosciences, Skyhawk Therapeutics, and StrideBio; and strategic alliances with Egle Therapeutics SAS; Evotec SE; Neurocrine Biosciences, Inc.; Carmine Therapeutics; KSQ Therapeutics; and Anima Biotech. Takeda Pharmaceutical Company Limited was founded in 1781 and is headquartered in Tokyo, Japan.",New York Stock Exchange,https://www.takeda.com,NYSE,Drug Manufacturers—Specialty & Generic,JP,Healthcare,2010-01-05,2008-10-27,2023-11-06,3783,https://www.takeda.com/newsroom/press-releases,https://www.takeda.com/investors/financial-results/quarterly-results/
7,ORA.AX,Orora Limited,"Orora Limited designs, manufactures, and supplies packaging products and services to the grocery, fast moving consumer goods, and industrial markets in Australia, New Zealand, the United States, and internationally. The company operates through Orora Australasia and Orora North America segments. It also provides glass bottles, aluminum cans, tabs, and ends, closures and caps, boxes and cartons, point-of-purchase displays, packaging equipment, rigid and flexible packaging, and general packaging materials and supplies. In addition, the company purchases, warehouses, sells, and delivers a range of packaging and related materials; sells equipment; manufactures corrugated sheets and boxes; and provides point of purchase retail display solutions and other visual communication services. Further, the company offers printing and signage, research and technology, product sourcing, automation and engineering, design, kitting and fulfilment, logistics, and digital technology services. Orora Limited was incorporated in 1949 and is headquartered in Hawthorn, Australia.",Australian Securities Exchange,https://www.ororagroup.com,ASX,Packaging & Containers,AU,Consumer Cyclical,2013-12-19,2013-12-20,2023-11-06,2503,https://www.ororagroup.com/news,https://www.ororagroup.com/investors/downloads/annual-reports
8,TQR.BK,TQR Public Company Limited,"TQR Public Company Limited provides reinsurance broker and integrated risk transfer services in Thailand. The company operates through three segments: Traditional Business, Alternatives Business, and Other Services. It offers treaty and facultative reinsurance services; and motor car, motorcycle, extended warranty, travel, cyber security, medical malpractice, and director and officer liability insurance services to insurers. The Company was founded in 2012 and is based in Bangkok, Thailand.",Stock Exchange of Thailand,https://www.tqr.co.th/en/,SET,Insurance—Reinsurance,TH,Financial Services,2021-02-17,2021-02-17,2023-11-06,655,https://www.tqr.co.th/,
9,COY.AX,Coppermoly Limited,"Coppermoly Limited, together with its subsidiaries, engages in the exploration and development of copper-gold projects located in Papua New Guinea and Australia. It also explores for silver, zinc, and polymetallic mineralized deposits. The company's principal projects include the Mt Nakru tenement that covers an area of 47 square kilometers; and the Simuku project, which covers an area of 122.7 square kilometers located in Papua New Guinea. It also holds interests in the Fox Creek project, which includes EPM27835 exploration license covering an area of 320 square kilometers; and Mount Tracey project comprising EPM27836 exploration license that covers an area of 294 square kilometers located on the Mount Isa Inlier in northwest Queensland, Australia. The company was incorporated in 2007 and is headquartered in Taringa, Australia.",Australian Securities Exchange,https://www.coppermoly.com.au,ASX,Other Precious Metals & Mining,AU,Basic Materials,2008-01-30,2008-01-31,2015-02-02,1749,,
